,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,copaifera spp,copaifera spp,khaya senegalensis,copaiba balsam,aloe vera_burns,pongamia pinnata_fever,linum usititissimum_purgative,,pongamia pinnata_antibiotic,genista tinctoria_abortifacient
1,crotalaria juncea,crotalaria juncea,,woodkhaya senegalensis,,pueraria lobata_fever,,,sophora secundiflora_psychoactive,lawsonia inermis_lower blood pressure
2,cyamopsis tetragonolobus,cyamopsis tetragonolobus,,,,pueraria lobata_alcoholism,,,tephrosia spp_fish poison,
3,dalbergia nigra,dalbergia nigra,,,,lagerstromia speciosa_high blood pressure,,,tephrosia spp_insecticide,
4,dalbergia decipularis,dalbergia decipularis,,,,banisteriopsis spp_psychoactive,,,allium sativum_allicin,
5,dalbergia melanoxylon,dalbergia melanoxylon,,,,ficus carica_diabetes,,,chlorogalum pomeridianum_fish poison,
6,dalbergia retusa,dalbergia retusa,,,,ficus elastica_cancer,,,colchicum autumnale_colchicine,
7,dalbergia sisso,dalbergia sisso,,,,ficus platyphylla_high blood pressure,,,drimia maritima_rat poison,
8,dalbergia stevensonii,dalbergia stevensonii,,,,ficus religiosa_inflammation,,,linum catharticum_purgative,
9,derris spp,derris spp,,,,ficus sycomorus_diabetes,,,gelsemium elegans_poison,
10,dipteryx odorata,dipteryx odorata,,,,maclura pomifera_cancer,,,gelsemium sempervirens_cns depressant,
11,dipteryx oleifera,dipteryx oleifera,,,,maclura tinctoria_high blood pressure,,,strychnos nux-vomica_strychnine,
12,entada spp,entada spp,,,,maquira sclerophylla_psychoactive,,,strychnos toxifera_curare,
13,genista tinctoria,genista tinctoria,,,,maquira sclerophylla_inflammation,,,magnolia officinalis_tonic,
14,glycine max,glycine max,,,,morus nigra_diabetes,,,banisteriopsis spp_psychoactive,
15,glycyrrhiza glabra,glycyrrhiza glabra,,,,morus rubra_cancer,,,ficus carica_antibiotic,
16,gymnocladus dioica,gymnocladus dioica,,,,moringa oleifera_high blood pressure,,,ficus elastica_anti-inflammatory,
17,haematoxylon campechianum,haematoxylon campechianum,,,,moringa pterogyosperma_inflammation,,,ficus platyphylla_diuretic,
18,hymenaea spp,hymenaea spp,,,,ensete ventricosum_diabetes,,,ficus religiosa_stimulant,
19,indigofera tinctoria,indigofera tinctoria,,,,musa acuminata_cancer,,,ficus sycomorus_antibiotic,
20,inga edulis,inga edulis,,,,musa x paradisiaca var. paradisiaca_high blood pressure,,,maclura pomifera_anti-inflammatory,
21,inocarpus fagifer,inocarpus fagifer,,,,musa x paradisiaca var. sapientum_inflammation,,,maclura tinctoria_diuretic,
22,lablab purpureus,lablab purpureus,,,,musa textilis_diabetes,,,maquira sclerophylla_stimulant,
23,lathyris sativus,lathyris sativus,,,,myrica cerifera_cancer,,,morus nigra_antibiotic,
24,lathyris tuberosus,lathyris tuberosus,,,,myrica pensylvanica_high blood pressure,,,morus rubra_anti-inflammatory,
25,lens culinaris,lens culinaris,,,,myristica fragrans_inflammation,,,moringa oleifera_diuretic,
26,lonchocarpus spp,lonchocarpus spp,,,,virola spp_diabetes,,,moringa pterogyosperma_stimulant,
27,lonchocarpus violaceus,lonchocarpus violaceus,,,,eucalyptus diversicolor_cancer,,,ensete ventricosum_antibiotic,
28,medicago sativa,medicago sativa,,,,eucalyptus globulus_high blood pressure,,,musa acuminata_anti-inflammatory,
29,melilotus spp,melilotus spp,,,,eucalyptus marginata_inflammation,,,musa x paradisiaca var. paradisiaca_diuretic,
30,microberlinia brazzavillensis,microberlinia brazzavillensis,,,,eucalyptus microtheca_diabetes,,,musa x paradisiaca var. sapientum_stimulant,
31,milletia laurentii,milletia laurentii,,,,eucalyptus spp_cancer,,,musa textilis_antibiotic,
32,milletia stuhlmanii,milletia stuhlmanii,,,,eugenia malaccensis_high blood pressure,,,myrica cerifera_anti-inflammatory,
33,mimosa hostilis,mimosa hostilis,,,,eugenia uniflora_inflammation,,,myrica pensylvanica_diuretic,
34,mucuna spp,mucuna spp,,,,feijoa sellowiana_diabetes,,,myristica fragrans_stimulant,
35,myroxylon balsamum,myroxylon balsamum,,,,leptospermum petersonii_cancer,,,virola spp_antibiotic,
36,myroxylon pereirae,myroxylon pereirae,,,,leptospermum scoparium_high blood pressure,,,eucalyptus diversicolor_anti-inflammatory,
37,pachyrrhizus erosus,pachyrrhizus erosus,,,,melaleuca cajuputi_inflammation,,,eucalyptus globulus_diuretic,
38,pachyrrhizus tuberosus,pachyrrhizus tuberosus,,,,myrciaria cauliflora_diabetes,,,eucalyptus marginata_stimulant,
39,parkia filcoidea,parkia filcoidea,,,,pimenta dioica_cancer,,,eucalyptus microtheca_antibiotic,
40,pericopsis spp,pericopsis spp,,,,pimenta racemosa_high blood pressure,,,eucalyptus spp_anti-inflammatory,
41,phaseolus acutifolius,phaseolus acutifolius,,,,psidium cattleianum_inflammation,,,eugenia malaccensis_diuretic,
42,phaseolus aureus,phaseolus aureus,,,,psidium guajava_diabetes,,,eugenia uniflora_stimulant,
43,phaseolus coccineus,phaseolus coccineus,,,,psidium guineense_cancer,,,feijoa sellowiana_antibiotic,
44,phaseolus limensis,phaseolus limensis,,,,syzygium aromaticum_high blood pressure,,,leptospermum petersonii_anti-inflammatory,
45,phaseolus lunatus,phaseolus lunatus,,,,syzygium cuminii_inflammation,,,leptospermum scoparium_diuretic,
46,phaseolus vulgaris,phaseolus vulgaris,,,,syzygium jambos_diabetes,,,melaleuca cajuputi_stimulant,
47,physostigma venenosum,physostigma venenosum,,,,syzygium malaccense_cancer,,,myrciaria cauliflora_antibiotic,
48,piscidia piscipula,piscidia piscipula,,,,syzygium samarangense_high blood pressure,,,pimenta dioica_anti-inflammatory,
49,pisum sativum,pisum sativum,,,,nelumbo nucifera_inflammation,,,pimenta racemosa_diuretic,
50,pongamia pinnata,pongamia pinnata,,,,nelumbo pentapetala_diabetes,,,psidium cattleianum_stimulant,
51,prioria copaifera,prioria copaifera,,,,mirabilis jalapa_cancer,,,psidium guajava_antibiotic,
52,prosopis glandulosa,prosopis glandulosa,,,,mirabilis multiflora_high blood pressure,,,psidium guineense_anti-inflammatory,
53,psophocarpus tetragonolobus,psophocarpus tetragonolobus,,,,nymphaea spp_inflammation,,,syzygium aromaticum_diuretic,
54,pterocarpus spp,pterocarpus spp,,,,coula edulis_diabetes,,,syzygium cuminii_stimulant,
55,pueraria lobata,pueraria lobata,,,,carissa grandiflora_cancer,,,syzygium jambos_antibiotic,
56,robinia pseudoacacia,robinia pseudoacacia,,,,fraxinus americana_high blood pressure,,,syzygium malaccense_anti-inflammatory,
57,sesbania exaltata,sesbania exaltata,,,,fraxinus excelsior_inflammation,,,syzygium samarangense_diuretic,
58,sophora secundiflora,sophora secundiflora,,,,fraxinus mandschurica_diabetes,,,nelumbo nucifera_stimulant,
59,sphenostylis stenocarpa,sphenostylis stenocarpa,,,,fraxinus pensylvanica_cancer,,,nelumbo pentapetala_antibiotic,
60,tamarindus indica,tamarindus indica,,,,jasminum officinale_high blood pressure,,,mirabilis jalapa_anti-inflammatory,
61,tephrosia spp,tephrosia spp,,,,olea europaea_inflammation,,,mirabilis multiflora_diuretic,
62,tephrosia,trifolium spp,,,,osmanthus fragrans_diabetes,,,nymphaea spp_stimulant,
63,trifolium spp,trigonella foenum-graecum,,,,syringa vulgaris_cancer,,,coula edulis_antibiotic,
64,trigonella foenum-graecum,vicia faba,,,,,,,carissa grandiflora_anti-inflammatory,
