,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,hypericum spp,hypericum,arta,pistacia lentiscus,,,,,,cistus creticus l. subsp. eriocephalus (viv.) greuter & burdet_anti-influenza activity
1,cistus creticus l. subsp. eriocephalus (viv.) greuter & burdet,cistus creticus,osorno,,,,,,,
2,alpinia galanga (l.) willd,alpinia galanga,valle,,,,,,,
3,santalum album l,santalum album,davila,,,,,,,
4,guatteria recurvisepala r.e. fr,guatteria recurvisepala,23pistacia lentiscus,,,,,,,
5,,,medica,,,,,,,
6,,,plasmodium falciparum,,,,,,,
7,,,mycobacterium tuberculosis,,,,,,,
8,,,zingiberaceae,,,,,,,
9,,,santalaceae,,,,,,,
10,,,annonaceae,,,,,,,
