,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,b. edulis (bull. : fr,b. edulis (bull. : fr,p ostreatus (jacq. : fr) kummer,p ostreatus(jacq. : fr,,,,,,
1,boletus edulis (bull fr,l. edodes (berk.) sing,macrolepiota procera (scop. : fr.) sing,l. edodes(berk.) sing,,,,,,
2,boletus edulis bull,a. bisporus (lge.) sing,a. pantherina (dc. ex fr.) krombh,morchella delicios (l.)pers,,,,,,
3,b. edulis (bull. :fr,pleurotus ostreatus (jack. :fr,,lactarius deliciosus (l.: fr,,,,,,
4,l. edodes (berk,agaricus bisporus (lge.) sing,,pleurotusostreatus,,,,,,
5,l. edodes (berk.) sing,boletus edulis (bull fr,,lentinula,,,,,,
6,a. bisporus (lge.) sing,morchella deliciosa (l.) pers,,agaricus bisporus (lge.)sing,,,,,,
7,agaricus bisporus (lge. )sing,lactarius deliciosus (l.:fr) gray,,macrolepiota procera(scop. : fr.) sing,,,,,,
8,agaricus bisporus,lentinus edodes (brk) sing,,lactarius deliciosus (l. ex fr.) s.f.gray s,,,,,,
9,a. bisporus (lge,amanita caesarea (scop.) pers,,a. pantherina (dc. exfr.) krombh,,,,,,
10,agaricus bisporus (lge.) sing,cantharellus cibarius fr,,p ostreatus(jacq. :fr) kummer,,,,,,
11,pleurotus,amanita muscaria (l.:fr.) lam,,b. edulis (bull.:fr,,,,,,
12,pleurotus ostreatus (jack. :fr,a. phalloides (vaill. ex fr.) link,,morchella deliciosa (l.)pers,,,,,,
13,agaricus,a.verna (bull. : fr.) lam,,,,,,,,
14,boletus,,,,,,,,,
15,morchella,,,,,,,,,
16,lactarius,,,,,,,,,
17,lactarius deliciosus (l.:fr) gray,,,,,,,,,
18,lentinus,,,,,,,,,
19,lentinus edodes (brk) sing,,,,,,,,,
20,amanita caesarea (scop.) pers,,,,,,,,,
21,cantharellus cibarius fr,,,,,,,,,
22,amanita muscaria (l.:fr.) lam,,,,,,,,,
23,a. phalloides (vaill. ex fr.) link,,,,,,,,,
24,a.verna (bull. : fr.) lam,,,,,,,,,
