,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,antiaris toxicaria,antiaris toxicaria,uncaria gambir,eugeniauniflora,,,,,antiaris toxicaria_arrow and dart poisons,
1,melaleuca spp,melaleuca spp,,borassusflabellifer,,,,,melaleuca spp_medicine,
2,serenoa repens,serenoa repens,,morindacitrifolia,,,,,serenoa repens_medicine,
3,quillaja saponaria,quillaja saponaria,,citrus,,,,,quillaja saponaria_medicine,
4,cephaelis ipecacuanha,cephaelis ipecacuanha,,citrusspp,,,,,cephaelis ipecacuanha_medicine,
5,cinchona spp,cinchona spp,,brugmansia spp,,,,,cinchona spp_medicine,
6,dictamnus albus,dictamnus albus,,capsicumspp,,,,,dictamnus albus_medicine,
7,pilocarpus jaborandi,pilocarpus jaborandi,,daturaspp,,,,,pilocarpus jaborandi_medicine,
8,ruta graveolens,ruta graveolens,,datura,,,,,ruta graveolens_medicine,
9,atropa belladonna,atropa belladonna,,coriandrumsativum,,,,,atropa belladonna_medicine,
10,brunfelsia uniflora,brunfelsia uniflora,,ferulaassafoetida,,,,,brunfelsia uniflora_medicine,
11,hyoscyamus spp,hyoscyamus spp,,pimpinellaanisum,,,,,hyoscyamus spp_medicine,
12,mandragora spp,mandragora spp,,protea,,,,,mandragora spp_medicine,
13,withania spp,withania spp,,aeschynomenehispida,,,,,withania spp_medicine,
14,alpinia spp,alpinia spp,,olealaurifolia,,,,,alpinia spp_medicine,
15,kaempferia spp,kaempferia spp,,yuccawhipplei,,,,,kaempferia spp_medicine,
16,ephedra,ephedra sinica,,alocasiamacrorrhiza,,,,,ephedra sinica_medicine,
17,ephedra sinica,artocarpus spp,,philodendron,,,,,,
18,artocarpus spp,brosimum spp,,raphiafarinifera,,,,,,
19,brosimum spp,broussonetia papyrifera,,wolffiaangusta,,,,,,
20,broussonetia papyrifera,castilla elastica,,triticumaestivum,,,,,,
21,castilla elastica,ficus spp,,coriandum sativum,,,,,,
22,ficus spp,maclura pomifera,,artocarpusheterophyllus,,,,,,
23,maclura pomifera,morus spp,,echinacea,,,,,,
24,morus spp,ensete ventricosum,,echinaceaspp,,,,,,
25,ensete ventricosum,musa spp,,solanummelongena,,,,,,
26,musa spp,eucalyptus spp,,galanga,,,,,,
27,eucalyptus spp,feijoa sellowiana,,yucca,,,,,,
28,feijoa sellowiana,pimenta spp,,bromeliad,,,,,,
29,pimenta spp,psidium guajava,,,,,,,,
30,psidium guajava,syzygium spp,,,,,,,,
31,syzygium spp,areca catechu,,,,,,,,
32,areca catechu,arenga pinnata,,,,,,,,
33,arenga pinnata,bactris gasipaes,,,,,,,,
34,bactris gasipaes,calamus spp,,,,,,,,
35,calamus spp,caryota urens,,,,,,,,
36,caryota urens,cocos nucifera,,,,,,,,
37,cocos nucifera,copernicia spp,,,,,,,,
38,copernicia spp,elaeis guineensis,,,,,,,,
39,elaeis guineensis,metroxylon spp,,,,,,,,
40,metroxylon spp,phoenix dactylifera,,,,,,,,
41,phoenix dactylifera,raphia spp,,,,,,,,
42,raphia spp,sabal spp,,,,,,,,
43,sabal spp,cydonia oblonga,,,,,,,,
44,cydonia oblonga,eriobotrya japonica,,,,,,,,
45,eriobotrya japonica,fragaria spp,,,,,,,,
46,fragaria spp,mespilus germanica,,,,,,,,
47,mespilus germanica,malus domestica,,,,,,,,
48,malus domestica,prunus spp,,,,,,,,
49,prunus spp,pyrus communis,,,,,,,,
50,pyrus communis,rubus spp,,,,,,,,
51,rubus spp,coffea spp,,,,,,,,
52,coffea spp,rubia tinctorum,,,,,,,,
53,rubia tinctorum,casimiroa edulis,,,,,,,,
54,casimiroa edulis,fortunella spp,,,,,,,,
55,fortunella spp,galipea officinalis,,,,,,,,
