,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,ceratonia siliqua,ceratonia siliqua,coffee liberica,sansieveria trifasciciata,,,,,,
1,trifolium subterranea,trifolium subterranea,mesembryanthemum edule,mesembryanthemum eduleiboga,,,,,,
2,thymus vulgaris,thymus vulgaris,tabernanthe iboga,tabernanthe ibogaindigo,,,,,,
3,brassica rapa,brassica rapa,solanum melongena,senna,,,,,,
4,ensete ventricosum,ensete ventricosum,aleurites fordii,solanum melongen,,,,,,
5,ensete,avena strigosa,cordyline fruticosa,phaseolus acontifolius,,,,,,
6,avena strigosa,elaeis guineensis,,,,,,,,
7,elaeis guineensis,dioscorea bulbifera,,,,,,,,
8,dioscorea bulbifera,blighia sapida,,,,,,,,
9,blighia sapida,voandzeia subterranea,,,,,,,,
10,voandzeia subterranea,adansonia digitata,,,,,,,,
11,adansonia digitata,lablab niger,,,,,,,,
12,lablab niger,vigna unguiculata,,,,,,,,
13,vigna unguiculata,lagenaria siceraria,,,,,,,,
14,lagenaria siceraria,butryospermum paradoxum,,,,,,,,
15,butryospermum paradoxum,physostigma venenosa,,,,,,,,
16,physostigma venenosa,ricinus communis,,,,,,,,
17,ricinus communis,coffea arabica,,,,,,,,
18,coffea arabica,coffea canephora,,,,,,,,
19,coffea canephora,phoenix dactylifera,,,,,,,,
20,phoenix dactylifera,pennisetum purpureum,,,,,,,,
21,pennisetum purpureum,digitaria spp,,,,,,,,
22,digitaria spp,panicum maximum,,,,,,,,
23,panicum maximum,acacia senegal,,,,,,,,
24,acacia senegal,indigofera tinctoria,,,,,,,,
25,indigofera tinctoria,hyparrhenia rufa,,,,,,,,
26,hyparrhenia rufa,plectranthus esculentus,,,,,,,,
27,plectranthus esculentus,hibiscus cannabinus,,,,,,,,
28,hibiscus cannabinus,pennisetum clandestinum,,,,,,,,
29,pennisetum clandestinum,cola acuminata,,,,,,,,
30,cola acuminata,cola nitida,,,,,,,,
31,cola nitida,aframomum melegueta,,,,,,,,
32,aframomum melegueta,pennisetum typhoides,,,,,,,,
33,pennisetum typhoides,eleusine coracana,,,,,,,,
34,eleusine coracana,brachiaria deflexa,,,,,,,,
35,brachiaria deflexa,pennisetum glaucum,,,,,,,,
36,pennisetum glaucum,melinis minutiflora,,,,,,,,
37,melinis minutiflora,schinziophyton rautanenii,,,,,,,,
38,schinziophyton rautanenii,cucumis melo,,,,,,,,
39,cucumis melo,carissa grandiflora,,,,,,,,
40,carissa grandiflora,telfairia spp,,,,,,,,
41,telfairia spp,catharanthus roseus,,,,,,,,
42,catharanthus roseus,cajanus cajan,,,,,,,,
43,cajanus cajan,catha edulis,,,,,,,,
44,catha edulis,chloris gayana,,,,,,,,
45,chloris gayana,oryza glaberrima,,,,,,,,
46,oryza glaberrima,sesamum indicum,,,,,,,,
47,sesamum indicum,sorghum bicolor,,,,,,,,
48,sorghum,tamarindus indica,,,,,,,,
49,sorghum bicolor,eragrostis tef,,,,,,,,
50,tamarindus indica,gossypium arboreum,,,,,,,,
51,eragrostis tef,citrullus lanatus,,,,,,,,
52,gossypium arboreum,eragrostis curvula,,,,,,,,
53,citrullus lanatus,dioscorea rotundata,,,,,,,,
54,eragrostis curvula,dioscorea cayenensis,,,,,,,,
55,dioscorea rotundata,medicago sativa,,,,,,,,
56,dioscorea cayenensis,hordeum vulgare,,,,,,,,
57,medicago sativa,brassica oleracea,,,,,,,,
58,hordeum vulgare,carum carvi,,,,,,,,
59,brassica oleracea,coriandrum sativum,,,,,,,,
60,carum carvi,cuminum cyminum,,,,,,,,
61,coriandrum sativum,corylus spp,,,,,,,,
62,cuminum cyminum,linum usitissimum,,,,,,,,
63,corylus spp,aegilops ovata,,,,,,,,
64,linum usitissimum,pisum sativum,,,,,,,,
65,aegilops ovata,vitis vinifera,,,,,,,,
66,pisum sativum,lathyrus sativus,,,,,,,,
67,vitis vinifera,hyacinthus orientalis,,,,,,,,
68,lathyrus sativus,nelumbo nucifera,,,,,,,,
69,hyacinthus orientalis,allium porrum,,,,,,,,
70,nelumbo nucifera,lens culinaris,,,,,,,,
