,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,mangifera odorata,mangifera odorata,,carica pubescens,,,,,,
1,artocarpus hupargyrea,artocarpus hupargyrea,,passiflora edulis,,,,,,
2,lansium domesticum,lansium domesticum,,syzgium javanicum,,,,,,
3,citrus limon,citrus limon,,annona spp,,,,,,
4,citrus,citrus aurantiifolia,,oxalis,,,,,,
5,citrus aurantiifolia,citrus limonia,,doryalis caffra,,,,,,
6,citrus limonia,elaeagnus philippensis,,manilkara zapote,,,,,,
7,elaeagnus philippensis,litchi chinensis,,scirpus validus,,,,,,
8,litchi chinensis,dimocarpus longan,,typha latifolia,,,,,,
9,dimocarpus longan,eriobotrya japonica,,verbena,,,,,,
10,eriobotrya japonica,flacourtia inermis,,,,,,,,
11,flacourtia inermis,lucuma obovata,,,,,,,,
12,flacourtia,solanum quitoense,,,,,,,,
13,lucuma obovata,diospyros discolor,,,,,,,,
14,solanum quitoense,eugenia dombeyi,,,,,,,,
15,diospyros discolor,syzygium malaccensis,,,,,,,,
16,eugenia dombeyi,carica papaya,,,,,,,,
17,syzygium malaccensis,mammea americana,,,,,,,,
18,carica papaya,melicocca bijugatus,,,,,,,,
19,mammea americana,citrus reticulata,,,,,,,,
20,melicocca bijugatus,hancornia speciosa,,,,,,,,
21,citrus reticulata,mangifera indica,,,,,,,,
22,hancornia speciosa,mangifera foetida,,,,,,,,
23,mangifera indica,garcinia mangostana,,,,,,,,
24,mangifera foetida,crataegus spp,,,,,,,,
25,garcinia mangostana,passiflora spp,,,,,,,,
26,garcinia,artocarpus odoratissima,,,,,,,,
27,crataegus spp,citrus hystrix,,,,,,,,
28,passiflora spp,spondias purpurea,,,,,,,,
29,artocarpus odoratissima,carissa grandiflora,,,,,,,,
30,citrus hystrix,eugenia malaccensis,,,,,,,,
31,spondias purpurea,olea europaea,,,,,,,,
32,carissa grandiflora,citrus x nobilis,,,,,,,,
33,eugenia malaccensis,citrus aurantium,,,,,,,,
34,olea europaea,citrus sinensis,,,,,,,,
35,citrus x nobilis,spondias cytherea,,,,,,,,
36,citrus aurantium,phyllanthus distichus,,,,,,,,
37,citrus sinensis,bactris gasipaes,,,,,,,,
38,spondias cytherea,guilielma utilis,,,,,,,,
39,phyllanthus distichus,eugenia klotzschiana,,,,,,,,
40,bactris gasipaes,ananas comosus,,,,,,,,
41,guilielma utilis,feijoa sellowiana,,,,,,,,
42,eugenia klotzschiana,annona squamosa,,,,,,,,
43,ananas comosus,eugenia uniflora,,,,,,,,
44,feijoa sellowiana,hylocereus spp,,,,,,,,
45,annona squamosa,eugenia luschnathiana,,,,,,,,
46,annona,musa x paradisiaca,,,,,,,,
47,eugenia uniflora,punica granatum,,,,,,,,
48,hylocereus spp,annona glabra,,,,,,,,
49,eugenia luschnathiana,annona scleroderma,,,,,,,,
50,musa x paradisiaca,nephelium mutabile,,,,,,,,
51,punica granatum,citrus grandis,,,,,,,,
52,annona glabra,macadamia ternifolia,,,,,,,,
53,annona scleroderma,nephelium lappaceum,,,,,,,,
54,nephelium mutabile,flacourtia indica,,,,,,,,
55,citrus grandis,syzgium jambos,,,,,,,,
56,macadamia ternifolia,flacourtia rukam,,,,,,,,
57,nephelium lappaceum,manilkara zapota,,,,,,,,
58,flacourtia indica,zalacca edulis,,,,,,,,
59,syzgium jambos,sandoricum koetjape,,,,,,,,
60,flacourtia rukam,pouteria sapota,,,,,,,,
61,manilkara zapota,diospyros digyna,,,,,,,,
62,zalacca edulis,calocarpum viride,,,,,,,,
63,sandoricum koetjape,casimiroa edulis,,,,,,,,
64,pouteria sapota,lucuma salicifolia,,,,,,,,
65,diospyros digyna,annona purpurea,,,,,,,,
66,calocarpum viride,chrysophyllum cainito,,,,,,,,
67,casimiroa edulis,averrhoa carambola,,,,,,,,
68,lucuma salicifolia,passiflora maliformis,,,,,,,,
69,annona purpurea,tamarindus indica,,,,,,,,
70,chrysophyllum cainito,physalis ixocarpa,,,,,,,,
71,averrhoa carambola,cyphomandra betacea,,,,,,,,
72,passiflora maliformis,poncirus trifoliata,,,,,,,,
73,tamarindus indica,opuntia spp,,,,,,,,
74,physalis ixocarpa,eugenia uvalha,,,,,,,,
75,cyphomandra betacea,spondias dulcis,,,,,,,,
76,poncirus trifoliata,clausena lansium,,,,,,,,
77,opuntia spp,syzygium aqueum,,,,,,,,
78,eugenia uvalha,syzygium samarangense,,,,,,,,
79,spondias dulcis,malpighia punicifolia,,,,,,,,
80,clausena lansium,chlorogalum pomeridianum,,,,,,,,
81,syzygium aqueum,sagittaria latifolia,,,,,,,,
82,syzygium samarangense,balsamorhiza spp,,,,,,,,
83,malpighia punicifolia,xerophyllum tenax,,,,,,,,
84,malpighia,lomatium spp,,,,,,,,
85,chlorogalum pomeridianum,polygonum bistortoides,,,,,,,,
86,sagittaria latifolia,lewisia rediviva,,,,,,,,
87,balsamorhiza spp,orobanche spp,,,,,,,,
88,xerophyllum tenax,arctium minus,,,,,,,,
89,lomatium spp,sparganium eurycarpum,,,,,,,,
90,polygonum bistortoides,calypso bulbosa,,,,,,,,
91,lewisia rediviva,camassia spp,,,,,,,,
92,orobanche spp,typha spp,,,,,,,,
93,arctium minus,agave utahensis,,,,,,,,
94,sparganium eurycarpum,stellaria spp,,,,,,,,
95,calypso bulbosa,cichorium intybus,,,,,,,,
96,camassia spp,nuphar luteum,,,,,,,,
97,typha spp,heracleum lanatum,,,,,,,,
98,agave utahensis,taraxacum officinale,,,,,,,,
99,stellaria spp,zostera marina,,,,,,,,
100,cichorium intybus,oenothera hookeri,,,,,,,,
101,nuphar luteum,tragopogon spp,,,,,,,,
102,heracleum lanatum,smilacina racemosa,,,,,,,,
103,taraxacum officinale,erythronium spp,,,,,,,,
104,zostera marina,fritillaria spp,,,,,,,,
105,oenothera hookeri,smilax californica,,,,,,,,
106,tragopogon spp,frasera spp,,,,,,,,
107,smilacina racemosa,stachys palustris,,,,,,,,
108,erythronium spp,orogenia spp,,,,,,,,
109,fritillaria spp,lilium spp,,,,,,,,
110,smilax californica,calochortus spp,,,,,,,,
111,frasera spp,microseris nutans,,,,,,,,
112,stachys palustris,cyperus esculentus,,,,,,,,
113,orogenia spp,potamogeton spp,,,,,,,,
114,lilium spp,elymus repens,,,,,,,,
115,calochortus spp,daucus pusillus,,,,,,,,
116,microseris nutans,phragmites australis,,,,,,,,
117,cyperus esculentus,platanthera dilatata,,,,,,,,
118,potamogeton spp,abronia latifolia,,,,,,,,
119,elymus repens,cakile edentula,,,,,,,,
120,daucus pusillus,lysichiton americanum,,,,,,,,
121,phragmites australis,dodecatheon spp,,,,,,,,
122,platanthera dilatata,claytonia spp,,,,,,,,
123,abronia latifolia,helianthus spp,,,,,,,,
124,cakile edentula,osmorhiza spp,,,,,,,,
125,lysichiton americanum,cirsium spp,,,,,,,,
126,dodecatheon spp,cardamine spp,,,,,,,,
127,claytonia spp,scirpus spp,,,,,,,,
128,helianthus spp,hydrophyllum occidentale,,,,,,,,
129,osmorhiza spp,brasenia schreberi,,,,,,,,
130,cirsium spp,daucus carota,,,,,,,,
131,cardamine spp,asarum spp,,,,,,,,
132,scirpus spp,brodiaea spp,,,,,,,,
133,hydrophyllum occidentale,glycyrrhiza lepidota,,,,,,,,
134,brasenia schreberi,allium spp,,,,,,,,
135,daucus carota,perideridia gairdneri,,,,,,,,
136,asarum spp,asparagus officinalis,,,,,,,,
137,brodiaea spp,aster ledophyllus,,,,,,,,
138,glycyrrhiza lepidota,balsamorhiza sagittata,,,,,,,,
139,allium spp,cleome serrulata,,,,,,,,
140,perideridia gairdneri,brassica nigra,,,,,,,,
141,asparagus,silene spp,,,,,,,,
142,asparagus officinalis,orobanche fasciculata,,,,,,,,
143,aster ledophyllus,sanguisorba occcidentalis,,,,,,,,
144,balsamorhiza sagittata,kochia scoparia,,,,,,,,
145,cleome serrulata,mollugo verticillata,,,,,,,,
146,brassica nigra,malva spp,,,,,,,,
147,silene spp,stellaria media,,,,,,,,
148,orobanche fasciculata,beloperone californica,,,,,,,,
149,sanguisorba occcidentalis,rumex crispus,,,,,,,,
150,kochia scoparia,lamium amplexicaule,,,,,,,,
151,mollugo verticillata,eriogonum inflatum,,,,,,,,
152,malva spp,oenothera spp,,,,,,,,
153,stellaria media,floerkea proserpinacoides,,,,,,,,
154,beloperone californica,thlaspi arvense,,,,,,,,
155,rumex crispus,erodium circutarium,,,,,,,,
156,lamium amplexicaule,epilobium angustifolium,,,,,,,,
157,eriogonum inflatum,salicornia spp,,,,,,,,
158,oenothera spp,solidago missouriensis,,,,,,,,
159,floerkea proserpinacoides,chenopodium spp,,,,,,,,
160,thlaspi arvense,,,,,,,,,
161,erodium circutarium,,,,,,,,,
162,epilobium angustifolium,,,,,,,,,
163,salicornia spp,,,,,,,,,
164,solidago missouriensis,,,,,,,,,
165,chenopodium spp,,,,,,,,,
