,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,myroxylon balsamum,myroxylon balsamum,garcinia hanburyi,myroxylonbalsamum,,myroxylon balsamum_persistent sores,myroxylonbalsamum_sores,,,
1,rhus vernicifera,rhus vernicifera,angelica archangelica,asafetida,,rhus vernicifera_allergic reaction,,,,
2,rhus,boswellia carteri,michelia campaca,dipterocarp,,,,,,
3,boswellia carteri,boswellia fiereana,,solanum tuberosum,,,,,,
4,b. fiereana,commiphora spp,,triticum spp,,,,,,
5,commiphora spp,ferula assafoetida,,dioscorea spp,,,,,,
6,ferula assafoetida,gelidium spp,,angelica archangelic,,,,,,
7,gelidium spp,ascophyllum spp,,philodendron rhizomecamphor,,,,,,
8,ascophyllum spp,acacia senegal,,michelia campac,,,,,,
9,acacia senegal,ceratonia siliqua,,annona,,,,,,
10,ceratonia siliqua,chondrus crispus,,,,,,,,
11,chondrus crispus,acacia catechu,,,,,,,,
12,acacia catechu,furcellaran fastigiata,,,,,,,,
13,furcellaran fastigiata,anogeissus latifolia,,,,,,,,
14,anogeissus latifolia,cyamopsis tetragonolobus,,,,,,,,
15,cyamopsis tetragonolobus,sterculia urens,,,,,,,,
16,sterculia urens,larix occidentalis,,,,,,,,
17,larix occidentalis,astragalus gummifer,,,,,,,,
18,astragalus gummifer,opopanax chironium,,,,,,,,
19,opopanax chironium,pinus australis,,,,,,,,
20,pinus australis,abies balsamea,,,,,,,,
21,abies balsamea,pistacia lentiscus,,,,,,,,
22,pistacia lentiscus,pinus succinifer,,,,,,,,
23,pinus succinifer,hymenaea,,,,,,,,
24,hymenaea,hopea,,,,,,,,
25,hopea,dracaena draco,,,,,,,,
26,dracaena draco,styrax benzoin,,,,,,,,
27,styrax benzoin,dioscorea bulbifera,,,,,,,,
28,dioscorea bulbifera,roystonea oleracea,,,,,,,,
29,roystonea oleracea,maranta arundinacea,,,,,,,,
30,maranta arundinacea,encephalartos altensteinii,,,,,,,,
31,encephalartos altensteinii,manihot esculenta,,,,,,,,
32,manihot esculenta,xanthosoma atrovirens,,,,,,,,
33,xanthosoma atrovirens,zea mays,,,,,,,,
34,zea mays,dioscorea trifida,,,,,,,,
35,dioscorea trifida,colocasia esculenta,,,,,,,,
36,colocasia esculenta,curcuma angustifolia,,,,,,,,
37,curcuma angustifolia,tacca leontopetaloides,,,,,,,,
38,tacca leontopetaloides,cyrtosperma chamissonis,,,,,,,,
39,tacca,alocasia macrorhiza,,,,,,,,
40,cyrtosperma chamissonis,arenga pinnata,,,,,,,,
41,alocasia macrorhiza,dioscorea alata,,,,,,,,
42,arenga pinnata,cycas revoluta,,,,,,,,
43,dioscorea alata,encephalartos caffer,,,,,,,,
44,cycas revoluta,canna edulis,,,,,,,,
45,encephalartos caffer,oryza sativa,,,,,,,,
46,canna edulis,caryota urens,,,,,,,,
47,oryza sativa,cycas circinalis,,,,,,,,
48,caryota urens,metroxylon sagu,,,,,,,,
49,cycas circinalis,dioscorea rotundata,,,,,,,,
50,metroxylon sagu,dioscorea cayenensis,,,,,,,,
51,dioscorea rotundata,robinia pseudoacacia,,,,,,,,
52,dioscorea cayenensis,hibiscus abelomoschus,,,,,,,,
53,robinia pseudoacacia,pimpinella anisum,,,,,,,,
54,hibiscus abelomoschus,amyris balsamifera,,,,,,,,
55,pimpinella anisum,ocimum basilicum,,,,,,,,
56,amyris balsamifera,pimenta racemosa,,,,,,,,
57,ocimum basilicum,citrus aurantium,,,,,,,,
58,pimenta racemosa,prunus amygdalus,,,,,,,,
59,citrus,aniba rosqedora,,,,,,,,
60,citrus aurantium,cytisus scoparius,,,,,,,,
61,prunus amygdalus,barosma betulina,,,,,,,,
62,aniba rosqedora,acorus calamus,,,,,,,,
63,cytisus scoparius,cinnamomum camphora,,,,,,,,
64,barosma betulina,dianthus spp,,,,,,,,
65,acorus calamus,cinnamomum cassia,,,,,,,,
66,cinnamomum camphora,thuja occidentalis,,,,,,,,
67,dianthus spp,juniperus virginiana,,,,,,,,
68,cinnamomum cassia,salvia hispanica,,,,,,,,
69,thuja occidentalis,cymbopogon nardus,,,,,,,,
70,juniperus virginiana,salvia sclarea,,,,,,,,
71,salvia hispanica,mentha arvensis,,,,,,,,
72,cymbopogon nardus,eucalyptus spp,,,,,,,,
73,salvia sclarea,lavandula stoechas,,,,,,,,
74,mentha arvensis,gardenia spp,,,,,,,,
75,eucalyptus spp,pelargonium spp,,,,,,,,
76,lavandula stoechas,zingiber officinalis,,,,,,,,
77,gardenia spp,marrubium vulgare,,,,,,,,
78,gardenia,acacia farnesiana,,,,,,,,
79,pelargonium spp,hyacinthus orientalis,,,,,,,,
80,zingiber officinalis,hyssopus officinalis,,,,,,,,
81,marrubium vulgare,jasminum grandiflorum,,,,,,,,
82,acacia farnesiana,cistus ladaniferus,,,,,,,,
83,hyacinthus orientalis,lavandula hybrida,,,,,,,,
84,hyssopus officinalis,lavandula officinalis,,,,,,,,
85,jasminum grandiflorum,citrus limon,,,,,,,,
86,cistus ladaniferus,bursera spp,,,,,,,,
87,lavandula hybrida,origanum majorana,,,,,,,,
88,lavandula officinalis,reseda odorata,,,,,,,,
89,citrus limon,narcissus spp,,,,,,,,
90,bursera,citrus spp,,,,,,,,
91,bursera spp,iris florentina,,,,,,,,
92,origanum majorana,rosa damascena,,,,,,,,
93,reseda odorata,cymbopogon martinii,,,,,,,,
94,narcissus spp,pogostemon cablin,,,,,,,,
95,citrus spp,mentha pulegium,,,,,,,,
96,iris florentina,mentha x piperita,,,,,,,,
97,iris,pinus palustris,,,,,,,,
98,rosa damascena,anthemis nobilis,,,,,,,,
99,cymbopogon martinii,rosa centifolia,,,,,,,,
100,pogostemon cablin,rosmarinus officinalis,,,,,,,,
101,mentha pulegium,aniba perutilus,,,,,,,,
102,mentha x piperita,crocus sativus,,,,,,,,
103,pinus palustris,santalum album,,,,,,,,
104,anthemis nobilis,mentha spicata,,,,,,,,
105,rosa centifolia,nardostachys grandiflora,,,,,,,,
106,rosmarinus officinalis,melissa officinalis,,,,,,,,
107,aniba perutilus,thymus spp,,,,,,,,
108,crocus sativus,polianthes tuberosa,,,,,,,,
109,santalum album,valeriana officinalis,,,,,,,,
110,mentha spicata,vanilla planifolia,,,,,,,,
111,nardostachys grandiflora,verbena triphylla,,,,,,,,
112,melissa officinalis,vetiveria zizanioides,,,,,,,,
113,thymus spp,viola odorata,,,,,,,,
114,polianthes tuberosa,gaultheria procumbens,,,,,,,,
115,valeriana officinalis,hamamelis virginiana,,,,,,,,
116,vanilla planifolia,chenopodium ambrosioides,,,,,,,,
117,verbena triphylla,artemisia absinthium,,,,,,,,
