,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,ricinus communis,ricinus communis,rumex hymenosepalus,glycine max,,ricinus communis_purgative,,,,
1,hydnocarpus kurzii,hydnocarpus kurzii,tsuga heterophylla,cocos nucifera,,,,,,
2,croton tiglium,croton tiglium,,elaeisguineensis,,,,,,
3,cannabis sativa,cannabis sativa,,elaeis oleifera,,,,,,
4,papaver somniferum,papaver somniferum,,brassica spp,,,,,,
5,rhus coriaria,rhus coriaria,,limnanthes spp,,,,,,
6,tsuga canadensis,tsuga canadensis,,olea europea,,,,,,
7,schinopsis lorentzii,schinopsis lorentzii,,linum usitatissimum,,,,,,
8,rhizophora mangle,rhizophora mangle,,carthamus tinctorius,,,,,,
9,uncaria gambir,uncaria gambir,,arachis hypogaea,,,,,,
10,isatis tinctoria,isatis tinctoria,,zea mays,,,,,,
11,indigofera tinctoria,indigofera tinctoria,,gossypium spp,,,,,,
12,,,,elaeis guineensis,,,,,,
13,,,,olea europaea,,,,,,
14,,,,sesamum indicum,,,,,,
15,,,,helianthus annuus,,,,,,
16,,,,orbignya phalerata,,,,,,
17,,,,moringa pterygosperma,,,,,,
18,,,,bertholletia excelsa,,,,,,
19,,,,cucurbita foetidissima,,,,,,
20,,,,melaleuca leucadendron,,,,,,
21,,,,aleurites moluccana,,,,,,
22,,,,brassica napus,,,,,,
23,,,,b. campestris,,,,,,
24,,,,carapa guianensis,,,,,,
25,,,,anacardium occidentale,,,,,,
26,,,,flacourtia,,,,,,
27,,,,aleurites fordii,,,,,,
28,,,,theobroma cacao,,,,,,
29,,,,orbignya cohune,,,,,,
30,,,,dipterocarpus tuberculatus,,,,,,
31,,,,oncoba echinata,,,,,,
32,,,,dipterocarpus spp,,,,,,
33,,,,shorea macrophylla,,,,,,
34,,,,simmondsia chinensis,,,,,,
35,,,,ceiba pentandra,,,,,,
36,,,,syagrus coronata,,,,,,
37,,,,schleichera oleosa,,,,,,
38,,,,astrocaryum murumuru,,,,,,
39,,,,sinapis spp,,,,,,
40,,,,guizotia abyssinica,,,,,,
41,,,,licania rigida,,,,,,
42,,,,prunus persica,,,,,,
43,,,,perilla frutescens,,,,,,
44,,,,pistacia vera,,,,,,
45,,,,castanea dentata,,,,,,
46,,,,rumex hymeno-sepalus,,,,,,
47,,,,t.heterophylla,,,,,,
48,,,,acacia spp,,,,,,
49,,,,juglans regia,,,,,,
