,Region,Number of Taxa
0,ABT,16
1,AFG,73
2,AGE,9
3,AGS,5
4,AGW,12
5,ALA,41
6,ALB,116
7,ALD,3
8,ALG,76
9,ALT,48
10,ALU,4
11,AMU,23
12,AND,11
13,ANG,21
14,ARI,18
15,ARK,37
16,ARU,2
17,ASC,1
18,ASK,11
19,ASS,47
20,AUT,83
21,AZO,32
22,BAH,7
23,BAL,51
24,BAN,37
25,BEN,17
26,BER,2
27,BGM,75
28,BIS,4
29,BKN,18
30,BLR,75
31,BLT,67
32,BLZ,21
33,BOL,21
34,BOR,12
35,BOT,15
36,BRC,21
37,BRY,34
38,BUL,112
39,BUR,18
40,BZC,15
41,BZE,13
42,BZL,12
43,BZN,14
44,BZS,10
45,CAB,4
46,CAF,22
47,CAL,21
48,CAY,5
49,CBD,28
50,CGS,1
51,CHA,23
52,CHC,80
53,CHH,23
54,CHI,35
55,CHM,35
56,CHN,54
57,CHQ,25
58,CHS,62
59,CHT,30
60,CHX,47
61,CKI,2
62,CLC,7
63,CLM,26
64,CLN,4
65,CLS,6
66,CMN,26
67,CNT,43
68,CNY,35
69,COL,22
70,COM,8
71,CON,20
72,COO,2
73,COR,80
74,COS,23
75,CPP,13
76,CPV,7
77,CRL,6
78,CTA,24
79,CUB,12
80,CVI,14
81,CYP,65
82,CZE,84
83,DEL,33
84,DEN,61
85,DJI,14
86,DOM,13
87,DSV,1
88,EAI,69
89,ECU,19
90,EGY,37
91,EHM,53
92,ELS,21
93,EQG,3
94,ERI,27
95,ETH,38
96,FIJ,4
97,FIN,52
98,FLA,33
99,FOR,19
100,FRA,118
101,FRG,9
102,GAB,18
103,GAL,2
104,GAM,11
105,GEO,45
106,GER,86
107,GGI,17
108,GHA,20
109,GNB,14
110,GNL,11
111,GRB,59
112,GRC,129
113,GST,19
114,GUA,28
115,GUI,18
116,GUY,14
117,HAI,14
118,HAW,1
119,HBI,1
120,HON,25
121,HUN,85
122,ICE,25
123,IDA,18
124,ILL,47
125,IND,68
126,INI,47
127,IOW,38
128,IRE,50
129,IRK,32
130,IRN,107
131,IRQ,73
132,ITA,123
133,IVO,21
134,JAM,10
135,JAP,33
136,JAW,19
137,JNF,1
138,KAM,14
139,KAN,31
140,KAZ,69
141,KEN,30
142,KGZ,53
143,KHA,28
144,KOR,35
145,KRA,41
146,KRI,58
147,KRY,81
148,KTY,45
149,KUR,13
150,KUW,9
151,KZN,3
152,LAB,9
153,LAO,29
154,LBR,16
155,LBS,85
156,LBY,51
157,LDV,4
158,LEE,11
159,LES,8
160,LOU,34
161,LSI,20
162,MAG,15
163,MAI,34
164,MAN,23
165,MAS,43
166,MAU,4
167,MCI,1
168,MDG,9
169,MDR,28
170,MDV,3
171,MIC,45
172,MIN,44
173,MLI,19
174,MLW,18
175,MLY,28
176,MNT,20
177,MOL,15
178,MON,30
179,MOR,74
180,MOZ,20
181,MRN,5
182,MRQ,1
183,MRS,4
184,MRY,45
185,MSI,33
186,MSO,41
187,MTN,13
188,MXC,34
189,MXE,40
190,MXG,32
191,MXI,2
192,MXN,26
193,MXS,35
194,MXT,31
195,MYA,43
196,NAM,16
197,NAT,19
198,NBR,24
199,NCA,47
200,NCB,8
201,NCS,102
202,NDA,27
203,NEB,33
204,NEP,57
205,NET,75
206,NEV,15
207,NFL,12
208,NGA,26
209,NGR,19
210,NIC,21
211,NLA,4
212,NNS,11
213,NOR,57
214,NRU,2
215,NSC,24
216,NSW,1
217,NTA,6
218,NUE,2
219,NUN,7
220,NWC,3
221,NWG,10
222,NWH,33
223,NWJ,42
224,NWM,20
225,NWT,9
226,NWY,49
227,OFS,8
228,OGA,5
229,OHI,48
230,OKL,38
231,OMA,20
232,ONT,40
233,ORE,18
234,PAK,85
235,PAL,61
236,PAN,21
237,PAR,10
238,PEI,15
239,PEN,48
240,PER,23
241,PHI,19
242,PIT,1
243,POL,81
244,POR,79
245,PRM,30
246,PUE,11
247,QLD,9
248,QUE,32
249,REU,3
250,RHO,33
251,ROD,1
252,ROM,98
253,RUC,75
254,RUE,69
255,RUN,52
256,RUS,74
257,RUW,66
258,RWA,16
259,SAK,15
260,SAM,3
261,SAR,82
262,SAS,15
263,SAU,40
264,SCA,42
265,SCI,3
266,SCS,6
267,SCZ,1
268,SDA,30
269,SEL,1
270,SEN,16
271,SEY,2
272,SIC,90
273,SIE,15
274,SIN,27
275,SOC,7
276,SOL,7
277,SOM,21
278,SPA,114
279,SRL,28
280,STH,1
281,SUD,33
282,SUL,14
283,SUM,15
284,SUR,12
285,SVA,5
286,SWC,3
287,SWE,66
288,SWI,82
289,SWZ,16
290,TAI,25
291,TAN,25
292,TCI,4
293,TCS,102
294,TDC,1
295,TEN,44
296,TEX,44
297,THA,33
298,TKM,65
299,TOG,18
300,TON,4
301,TRT,9
302,TUA,2
303,TUB,1
304,TUE,92
305,TUN,63
306,TUR,128
307,TVA,27
308,TVL,19
309,TZK,55
310,UGA,21
311,UKR,99
312,URU,6
313,UTA,17
314,UZB,56
315,VAN,7
316,VEN,23
317,VER,38
318,VIC,1
319,VIE,44
320,VNA,5
321,VRG,46
322,WAL,3
323,WAS,18
324,WAU,5
325,WDC,31
326,WHM,77
327,WIN,11
328,WIS,44
329,WSA,8
330,WSB,52
331,WVA,44
332,WYO,18
333,XMS,4
334,YAK,28
335,YEM,35
336,YUG,128
337,YUK,8
338,ZAI,31
339,ZAM,20
340,ZIM,19
